iter	Passed	Remaining
0	39	39145
1	85	42823
2	124	41488
3	161	40281
4	203	40438
5	242	40126
6	281	39942
7	318	39441
8	358	39442
9	399	39526
10	436	39223
11	475	39118
12	514	39026
13	552	38933
14	591	38873
15	634	38994
16	674	39008
17	715	39042
18	756	39057
19	799	39188
20	838	39101
21	881	39191
22	926	39370
23	964	39228
24	1005	39207
25	1045	39163
26	1088	39219
27	1211	42052
28	1293	43323
29	1335	43179
30	1377	43042
31	1415	42828
32	1457	42722
33	1503	42714
34	1546	42632
35	1585	42449
36	1627	42363
37	1667	42226
38	1708	42086
39	1745	41900
40	1785	41767
41	1826	41663
42	1864	41495
43	1905	41392
44	1943	41251
45	1982	41119
46	2024	41053
47	2063	40922
48	2105	40871
49	2143	40725
50	2184	40650
51	2224	40552
52	2264	40468
53	2305	40386
54	2342	40256
55	2379	40117
56	2418	40010
57	2456	39895
58	2495	39795
59	2533	39683
60	2570	39575
61	2613	39536
62	2652	39454
63	2691	39360
64	2730	39274
65	2768	39185
66	2806	39086
67	2848	39034
68	2886	38949
69	2928	38912
70	2967	38821
71	3006	38756
72	3042	38639
73	3081	38557
74	3119	38478
75	3155	38369
76	3196	38321
77	3233	38222
78	3274	38175
79	3313	38107
80	3353	38046
81	3390	37962
82	3428	37879
83	3467	37814
84	3506	37748
85	3541	37640
86	3582	37593
87	3622	37542
88	3662	37489
89	3703	37448
90	3741	37378
91	3781	37322
92	3817	37231
93	3855	37165
94	3899	37151
95	3940	37106
96	3982	37077
97	4020	37005
98	4059	36943
99	4105	36946
100	4144	36888
101	4186	36860
102	4225	36799
103	4264	36736
104	4307	36713
105	4345	36646
106	4382	36578
107	4421	36515
108	4458	36448
109	4498	36395
110	4537	36342
111	4578	36298
112	4617	36241
113	4654	36176
114	4690	36096
115	4728	36037
116	4766	35975
117	4805	35918
118	4842	35852
119	4883	35810
120	4924	35773
121	4966	35744
122	5006	35698
123	5045	35642
124	5083	35584
125	5120	35521
126	5163	35493
127	5211	35503
128	5255	35486
129	5298	35457
130	5335	35393
131	5376	35356
132	5410	35271
133	5452	35235
134	5491	35186
135	5530	35133
136	5567	35068
137	5604	35006
138	5641	34944
139	5683	34912
140	5720	34851
141	5761	34810
142	5797	34743
143	5835	34685
144	5872	34626
145	5912	34585
146	5952	34537
147	5993	34500
148	6028	34430
149	6067	34382
150	6105	34331
151	6145	34283
152	6184	34237
153	6223	34188
154	6263	34143
155	6302	34097
156	6341	34049
157	6380	34003
158	6419	33955
159	6456	33897
160	6497	33857
161	6534	33803
162	6574	33758
163	6609	33693
164	6647	33642
165	6686	33595
166	6725	33544
167	6764	33501
168	6802	33448
169	6843	33414
170	6884	33374
171	6919	33312
172	6958	33265
173	6997	33219
174	7035	33165
175	7074	33120
176	7114	33079
177	7152	33030
178	7191	32985
179	7226	32920
180	7265	32876
181	7302	32820
182	7339	32765
183	7379	32726
184	7420	32691
185	7461	32656
186	7500	32607
187	7538	32559
188	7580	32526
189	7615	32465
190	7653	32415
191	7691	32366
192	7731	32327
193	7769	32280
194	7806	32228
195	7851	32205
196	7890	32160
197	7925	32103
198	7962	32049
199	7999	31997
200	8038	31954
201	8077	31910
202	8121	31886
203	8159	31838
204	8199	31797
205	8240	31761
206	8282	31728
207	8318	31673
208	8357	31630
209	8393	31576
210	8437	31550
211	8476	31505
212	8513	31456
213	8553	31417
214	8591	31370
215	8631	31329
216	8671	31287
217	8708	31237
218	8752	31212
219	8791	31170
220	8829	31124
221	8871	31088
222	8914	31059
223	8951	31011
224	8990	30966
225	9026	30913
226	9068	30880
227	9106	30835
228	9146	30795
229	9185	30752
230	9223	30705
231	9267	30679
232	9307	30639
233	9347	30600
234	9387	30560
235	9428	30522
236	9465	30473
237	9506	30436
238	9547	30399
239	9585	30354
240	9624	30310
241	9663	30268
242	9706	30239
243	9747	30199
244	9791	30174
245	9832	30135
246	9869	30088
247	9912	30057
248	9953	30021
249	9992	29976
250	10030	29932
251	10068	29884
252	10105	29838
253	10145	29796
254	10183	29752
255	10222	29710
256	10262	29668
257	10301	29626
258	10344	29594
259	10380	29543
260	10418	29499
261	10457	29456
262	10496	29412
263	10533	29366
264	10574	29329
265	10611	29282
266	10650	29238
267	10690	29198
268	10731	29162
269	10771	29122
270	10812	29085
271	10853	29048
272	10893	29010
273	10929	28959
274	10968	28916
275	11005	28869
276	11043	28823
277	11081	28779
278	11129	28760
279	11171	28726
280	11209	28681
281	11245	28631
282	11285	28591
283	11328	28559
284	11372	28530
285	11413	28495
286	11452	28451
287	11493	28414
288	11536	28381
289	11575	28340
290	11616	28302
291	11656	28264
292	11699	28230
293	11740	28193
294	11778	28149
295	11821	28115
296	11864	28082
297	11904	28043
298	11947	28010
299	11991	27979
300	12035	27948
301	12075	27909
302	12113	27865
303	12153	27824
304	12193	27784
305	12232	27742
306	12269	27696
307	12309	27655
308	12348	27614
309	12387	27572
310	12427	27531
311	12465	27488
312	12505	27448
313	12543	27404
314	12582	27362
315	12620	27316
316	12662	27282
317	12699	27235
318	12737	27191
319	12777	27153
320	12817	27112
321	12855	27067
322	12891	27019
323	12930	26978
324	12969	26935
325	13009	26896
326	13047	26853
327	13084	26806
328	13125	26770
329	13164	26728
330	13198	26675
331	13234	26627
332	13274	26589
333	13313	26546
334	13351	26502
335	13390	26462
336	13429	26419
337	13467	26376
338	13508	26339
339	13543	26291
340	13581	26247
341	13620	26205
342	13658	26161
343	13698	26123
344	13736	26079
345	13776	26040
346	13818	26004
347	13857	25962
348	13894	25917
349	13933	25876
350	13972	25835
351	14010	25792
352	14045	25743
353	14084	25701
354	14123	25661
355	14163	25622
356	14202	25580
357	14245	25545
358	14281	25499
359	14321	25461
360	14360	25419
361	14400	25379
362	14441	25342
363	14482	25304
364	14520	25262
365	14560	25221
366	14598	25178
367	14635	25135
368	14677	25098
369	14721	25066
370	14763	25030
371	14804	24992
372	14840	24945
373	14880	24906
374	14914	24857
375	14949	24809
376	14988	24769
377	15023	24721
378	15062	24680
379	15103	24642
380	15140	24597
381	15178	24556
382	15217	24514
383	15256	24474
384	15295	24433
385	15331	24387
386	15372	24350
387	15410	24307
388	15447	24263
389	15491	24229
390	15532	24192
391	15568	24147
392	15606	24104
393	15645	24064
394	15688	24029
395	15727	23987
396	15765	23945
397	15807	23909
398	15846	23869
399	15881	23822
400	15921	23782
401	15958	23738
402	15995	23695
403	16036	23657
404	16070	23610
405	16108	23568
406	16148	23528
407	16185	23485
408	16225	23444
409	16264	23404
410	16302	23362
411	16337	23316
412	16375	23274
413	16413	23231
414	16448	23186
415	16486	23144
416	16526	23105
417	16563	23061
418	16602	23022
419	16643	22984
420	16684	22945
421	16722	22904
422	16763	22867
423	16803	22827
424	16841	22785
425	16877	22741
426	16913	22695
427	16953	22657
428	17004	22633
429	17043	22592
430	17081	22550
431	17121	22511
432	17158	22469
433	17197	22428
434	17236	22387
435	17276	22348
436	17317	22310
437	17357	22272
438	17393	22226
439	17432	22186
440	17473	22148
441	17507	22102
442	17545	22061
443	17589	22025
444	17627	21984
445	17664	21942
446	17701	21899
447	17743	21862
448	17784	21824
449	17824	21786
450	17862	21743
451	17900	21702
452	17938	21660
453	17973	21615
454	18017	21581
455	18056	21541
456	18098	21504
457	18135	21461
458	18173	21420
459	18212	21380
460	18252	21340
461	18289	21297
462	18331	21261
463	18384	21237
464	18462	21241
465	18546	21253
466	18622	21253
467	18687	21242
468	18739	21216
469	18786	21184
470	18834	21153
471	18877	21117
472	18930	21092
473	18975	21057
474	19010	21011
475	19053	20974
476	19097	20939
477	19137	20899
478	19177	20859
479	19217	20819
480	19263	20785
481	19303	20744
482	19351	20713
483	19391	20673
484	19437	20639
485	19480	20603
486	19517	20559
487	19555	20517
488	19600	20482
489	19644	20446
490	19689	20411
491	19732	20374
492	19775	20336
493	19822	20303
494	19869	20270
495	19912	20233
496	19953	20194
497	19996	20156
498	20037	20118
499	20077	20077
500	20119	20038
501	20167	20007
502	20215	19974
503	20266	19944
504	20311	19909
505	20346	19864
506	20389	19826
507	20439	19795
508	20476	19752
509	20520	19715
510	20560	19675
511	20595	19630
512	20636	19590
513	20671	19545
514	20709	19502
515	20750	19463
516	20791	19423
517	20833	19385
518	20880	19351
519	20922	19313
520	20957	19268
521	20998	19228
522	21040	19190
523	21085	19153
524	21124	19112
525	21167	19074
526	21224	19050
527	21288	19030
528	21325	18987
529	21363	18944
530	21406	18906
531	21445	18865
532	21489	18828
533	21527	18786
534	21575	18752
535	21618	18714
536	21662	18677
537	21708	18641
538	21753	18605
539	21794	18565
540	21836	18526
541	21880	18489
542	21919	18447
543	21955	18404
544	21995	18363
545	22036	18323
546	22074	18281
547	22115	18241
548	22154	18199
549	22191	18156
550	22231	18116
551	22281	18083
552	22323	18044
553	22365	18005
554	22407	17966
555	22465	17940
556	22519	17910
557	22580	17886
558	22629	17852
559	22686	17825
560	22733	17789
561	22779	17753
562	22822	17715
563	22868	17678
564	22910	17638
565	22954	17600
566	22994	17560
567	23039	17523
568	23079	17481
569	23116	17439
570	23166	17405
571	23214	17370
572	23253	17328
573	23300	17292
574	23341	17252
575	23381	17211
576	23425	17173
577	23472	17137
578	23512	17096
579	23559	17060
580	23601	17020
581	23646	16982
582	23688	16943
583	23726	16901
584	23776	16867
585	23823	16830
586	23863	16790
587	23903	16748
588	23944	16708
589	23979	16664
590	24014	16619
591	24056	16579
592	24096	16538
593	24137	16497
594	24174	16454
595	24223	16419
596	24273	16385
597	24366	16379
598	24493	16396
599	24548	16365
600	24600	16332
601	24654	16299
602	24708	16267
603	24774	16242
604	24854	16227
605	24939	16214
606	25031	16206
607	25094	16179
608	25148	16146
609	25203	16113
610	25246	16073
611	25290	16033
612	25346	16002
613	25384	15958
614	25424	15916
615	25470	15877
616	25515	15838
617	25559	15798
618	25605	15760
619	25643	15716
620	25681	15673
621	25724	15633
622	25774	15597
623	25820	15558
624	25863	15518
625	25903	15475
626	25952	15439
627	26018	15411
628	26061	15371
629	26108	15333
630	26157	15296
631	26215	15265
632	26268	15229
633	26316	15192
634	26365	15154
635	26423	15122
636	26472	15085
637	26515	15044
638	26560	15005
639	26602	14963
640	26643	14921
641	26689	14883
642	26725	14838
643	26762	14793
644	26813	14757
645	26860	14719
646	26912	14683
647	26996	14664
648	27056	14633
649	27118	14602
650	27165	14563
651	27214	14525
652	27255	14483
653	27293	14439
654	27335	14398
655	27380	14358
656	27425	14318
657	27474	14280
658	27572	14267
659	27661	14249
660	27720	14216
661	27996	14294
662	28070	14267
663	28136	14237
664	28189	14200
665	28242	14163
666	28292	14125
667	28337	14083
668	28385	14044
669	28426	14000
670	28537	13992
671	28637	13977
672	28811	13998
673	28911	13984
674	29027	13976
675	29103	13948
676	29227	13944
677	29321	13925
678	29409	13903
679	29484	13874
680	29559	13846
681	29610	13806
682	29658	13765
683	29736	13737
684	29806	13706
685	29899	13685
686	30042	13687
687	30166	13680
688	30304	13678
689	30385	13651
690	30474	13627
691	30561	13602
692	30628	13568
693	30717	13544
694	30806	13519
695	30880	13488
696	30956	13457
697	30999	13412
698	31052	13371
699	31105	13331
700	31160	13291
701	31218	13252
702	31299	13223
703	31449	13222
704	31527	13192
705	31691	13197
706	31770	13166
707	31840	13131
708	31898	13092
709	32026	13081
710	32204	13090
711	32274	13054
712	32342	13018
713	32412	12983
714	32470	12942
715	32537	12905
716	32603	12868
717	32713	12848
718	32829	12830
719	32916	12800
720	32985	12764
721	33044	12723
722	33112	12686
723	33194	12654
724	33267	12618
725	33348	12585
726	33437	12556
727	33493	12514
728	33548	12471
729	33599	12427
730	33647	12381
731	33697	12337
732	33743	12291
733	33825	12258
734	33908	12225
735	33982	12189
736	34039	12146
737	34108	12108
738	34165	12066
739	34230	12026
740	34278	11981
741	34412	11965
742	34486	11928
743	34528	11880
744	34584	11837
745	34639	11794
746	34704	11753
747	34824	11732
748	34914	11700
749	34982	11660
750	35060	11624
751	35143	11589
752	35223	11553
753	35282	11511
754	35379	11480
755	35439	11438
756	35495	11394
757	35546	11348
758	35603	11304
759	35646	11256
760	35696	11211
761	35762	11170
762	35821	11126
763	35880	11083
764	35933	11038
765	35979	10991
766	36034	10946
767	36086	10901
768	36135	10854
769	36183	10808
770	36232	10761
771	36291	10718
772	36336	10670
773	36388	10625
774	36434	10577
775	36482	10531
776	36550	10490
777	36615	10448
778	36673	10404
779	36726	10358
780	36788	10315
781	36855	10274
782	36912	10230
783	36961	10183
784	37017	10138
785	37072	10093
786	37115	10045
787	37161	9997
788	37224	9954
789	37285	9911
790	37368	9873
791	37437	9832
792	37502	9789
793	37578	9749
794	37660	9711
795	37780	9682
796	37900	9653
797	38014	9622
798	38147	9596
799	38207	9551
800	38256	9504
801	38299	9455
802	38352	9409
803	38413	9364
804	38453	9314
805	38503	9267
806	38549	9219
807	38627	9178
808	38689	9134
809	38760	9091
810	38826	9048
811	38890	9004
812	38979	8965
813	39036	8919
814	39111	8878
815	39165	8831
816	39222	8785
817	39277	8739
818	39331	8692
819	39386	8645
820	39457	8602
821	39510	8555
822	39597	8516
823	39667	8472
